id"store_payment_date"store_payment_amount"created"updated"camp_id"camper_id"parent_id"store_type_movement_id
1"2018-03-07 19:55:19.948944-06"250"2018-03-07 19:55:19.948998-06"2018-03-07 19:55:19.949018-06"20354"28012"26797"1
209"2021-07-12 11:44:46.6705-05"400"2021-07-12 11:44:46.670535-05"2021-07-12 11:44:46.670544-05"20756"7632"7836"1
210"2021-07-12 11:47:26.739874-05"800"2021-07-12 11:47:26.739909-05"2021-07-12 11:47:26.739917-05"20756"23369"23029"1
211"2021-07-12 11:52:51.075445-05"300"2021-07-12 11:52:51.075487-05"2021-07-12 11:52:51.075496-05"20755"37509"34127"1
212"2021-07-12 11:54:33.742209-05"500"2021-07-12 11:54:33.742275-05"2021-07-12 11:54:33.742294-05"20755"36212"33123"1
213"2021-07-12 11:57:34.981593-05"450"2021-07-12 11:57:34.981649-05"2021-07-12 11:57:34.981662-05"20755"37394"34037"1
214"2021-07-12 12:00:18.906011-05"300"2021-07-12 12:00:18.906048-05"2021-07-12 12:00:18.906056-05"20755"37383"34030"1
215"2021-07-12 12:00:38.387235-05"300"2021-07-12 12:00:38.387291-05"2021-07-12 12:00:38.387306-05"20755"37380"34030"1
216"2021-07-12 12:01:17.085288-05"300"2021-07-12 12:01:17.085354-05"2021-07-12 12:01:17.085368-05"20755"37408"34036"1
217"2021-07-12 15:16:01.563422-05"300"2021-07-12 15:16:01.563457-05"2021-07-12 15:16:01.563466-05"20755"37376"34028"1
218"2021-07-12 15:17:27.077955-05"300"2021-07-12 15:17:27.077992-05"2021-07-12 15:17:27.078-05"20755"37300"33959"1
219"2021-07-12 15:17:49.491408-05"300"2021-07-12 15:17:49.491449-05"2021-07-12 15:17:49.491459-05"20756"34499"31735"1
220"2021-07-12 15:20:31.378122-05"300"2021-07-12 15:20:31.378161-05"2021-07-12 15:20:31.37817-05"20755"35539"32605"1
221"2021-07-12 15:20:47.116727-05"300"2021-07-12 15:20:47.116785-05"2021-07-12 15:20:47.116802-05"20755"37456"32605"1
222"2021-07-13 13:19:37.356958-05"500"2021-07-13 13:19:37.357008-05"2021-07-13 13:19:37.357021-05"20755"37278"33941"1
223"2021-07-13 13:21:15.394702-05"400"2021-07-13 13:21:15.394737-05"2021-07-13 13:21:15.394745-05"20755"37373"34024"1
224"2021-07-13 13:22:20.455409-05"300"2021-07-13 13:22:20.455444-05"2021-07-13 13:22:20.455452-05"20755"34492"31588"1
225"2021-07-13 13:22:37.695324-05"300"2021-07-13 13:22:37.695379-05"2021-07-13 13:22:37.695393-05"20756"37706"31588"1
226"2021-07-13 13:28:04.774819-05"250"2021-07-13 13:28:04.774857-05"2021-07-13 13:28:04.774867-05"20755"37379"34031"1
227"2021-07-13 13:28:19.808774-05"250"2021-07-13 13:28:19.808823-05"2021-07-13 13:28:19.808835-05"20755"37410"34031"1
228"2021-07-13 13:43:00.217683-05"400"2021-07-13 13:43:00.21774-05"2021-07-13 13:43:00.217756-05"20755"37561"34164"1
229"2021-07-13 13:43:15.667019-05"400"2021-07-13 13:43:15.667054-05"2021-07-13 13:43:15.667062-05"20755"37078"33737"1
230"2021-07-13 13:43:35.5291-05"400"2021-07-13 13:43:35.529149-05"2021-07-13 13:43:35.529161-05"20755"37562"34164"1
231"2021-07-13 23:22:28.817268-05"700"2021-07-13 23:22:28.817306-05"2021-07-13 23:22:28.817315-05"20755"37386"33033"1
232"2021-07-13 23:22:42.190158-05"700"2021-07-13 23:22:42.190249-05"2021-07-13 23:22:42.190273-05"20755"37385"33033"1
233"2021-07-15 21:50:53.085193-05"800"2021-07-15 21:50:53.085233-05"2021-07-15 21:50:53.085244-05"20756"31197"29173"1
234"2021-07-15 21:53:18.306486-05"300"2021-07-15 21:53:18.306524-05"2021-07-15 21:53:18.306534-05"20755"37715"34312"1
235"2021-07-21 01:33:56.456535-05"300"2021-07-21 01:33:56.456571-05"2021-07-21 01:33:56.456579-05"20756"37612"34214"1
236"2021-07-21 13:41:11.598513-05"300"2021-07-21 13:41:11.598549-05"2021-07-21 13:41:11.598558-05"20755"34568"31797"1
237"2021-07-21 13:41:49.822403-05"50"2021-07-21 13:41:49.82244-05"2021-07-21 13:41:49.82245-05"20755"37713"34309"1
238"2021-07-24 14:17:33.975516-05"200"2021-07-24 14:17:33.975558-05"2021-07-24 14:17:33.975569-05"20755"37384"34033"1
239"2021-07-30 15:06:31.274171-05"500"2021-07-30 15:06:31.274208-05"2021-07-30 15:06:31.274217-05"20755"37334"33992"1
240"2021-08-05 13:04:28.93662-05"300"2021-08-05 13:04:28.936671-05"2021-08-05 13:04:28.936684-05"20756"37503"34123"1
241"2022-06-09 13:05:02.415972-05"375"2022-06-09 13:05:02.416009-05"2022-06-09 13:05:02.416018-05"20865"26751"25750"1
242"2022-06-10 14:35:55.744817-05"287.5"2022-06-10 14:35:55.744856-05"2022-06-10 14:35:55.744865-05"20865"26754"25752"1
243"2022-06-10 14:36:05.537791-05"287.5"2022-06-10 14:36:05.537825-05"2022-06-10 14:36:05.537834-05"20865"38699"25752"1
244"2022-06-25 01:19:56.550314-05"250"2022-06-25 01:19:56.550348-05"2022-06-25 01:19:56.550356-05"20873"39236"36063"1
